restaurant_id,name,address,online_order,book_table,rate_numeric,votes,location,rest_type,cuisines,approx_cost_for_two,listed_in(type),listed_in(city)
2590,Chination,"AVS Layout, Koramangala 4th Block, Bangalore",Yes,No,3.5,4,Koramangala 4th Block,Delivery,Chinese,600.0,Delivery,BTM
2591,Chination,"Sarjapur Road, Bangalore",Yes,No,3.6500000000000004,5,Sarjapur Road,Delivery,Chinese,600.0,Delivery,Bellandur
2592,Chinese Chaska,"Praveen Transport Complex, Near ITPL Gate 3, Pattandur, Agrahara, Whitefield",Yes,No,3.1,127,Whitefield,Casual Dining,"Chinese, North Indian, Biryani",550.0,"Delivery, Dine-out",Brookefield
2593,Chinese Corner,"11/3, Old Market Road, V V Puram, Basavanagudi, Bangalore",No,No,2.8,34,Basavanagudi,Quick Bites,Chinese,200.0,Dine-out,Basavanagudi
2594,Chinese Corner,"46 ,3rd Cross, Madiwala, BTM, Bangalore",No,No,,0,BTM,Quick Bites,Chinese,300.0,Dine-out,BTM
2595,Chinese Corner,"5, Triumph Tower, Church Street, Bangalore",No,No,,0,Church Street,Quick Bites,Chinese,200.0,Delivery,Brigade Road
2596,Chinese Corner,"Rex Theatre, Brigade Road, Bangalore",No,No,3.08,5,Brigade Road,Quick Bites,Chinese,200.0,Dine-out,Brigade Road
2597,Chinese Corner and Bengali Mess,"E-04, 1st Cross Road, Patellapa Layout, Nagashetty Halli, RMV 2nd, Sanjay Nagar, Bangalore",Yes,No,3.5,28,Sanjay Nagar,Mess,"Chinese, Bengali",300.0,"Delivery, Dine-out",New BEL Road
2598,Chinese Fire Dragon,"Shop 5, Natasha Gulf View Apartment, Opposite Diamond District, Domlur, Bangalore",Yes,No,3.4,25,Domlur,Casual Dining,"Chinese, North Indian, Momos",550.0,"Delivery, Dine-out",Indiranagar
2599,Chinese Food Point,"76, Shruthi Layout, Basavanapura Main Road, KR Puram, Bangalore",Yes,No,,0,KR Puram,"Takeaway, Delivery","Chinese, Fast Food",300.0,Delivery,Whitefield
2600,Chinese House,"671, 11th Main Road, 4th Block, Jayanagar, Bangalore",Yes,No,2.8125,20,Jayanagar,Quick Bites,"Chinese, Thai, Momos",300.0,"Delivery, Dine-out",Basavanagudi
2601,Chinese Kitchen,"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Yes,No,3.8,59,Basavanagudi,Quick Bites,Chinese,150.0,"Delivery, Dine-out",Banashankari
2602,Chinese Kitchen,"Opposite. Elita Apartment, RBI Layout, JP Nagar, Bangalore",No,No,,0,JP Nagar,Quick Bites,Chinese,400.0,Dine-out,Bannerghatta Road
2603,Chinese Square,"169, Subbarama Chetty Rd, NR Colony, Basavanagudi, Bangalore",Yes,No,3.9,49,Basavanagudi,Quick Bites,Chinese,200.0,"Delivery, Dine-out",Banashankari
2604,Chinese Street,"G7, Brigade Metropolis, Garudacharpalya, Mahadevapura, Whitefield, Bangalore",Yes,No,3.1,134,Whitefield,Casual Dining,Chinese,650.0,"Delivery, Dine-out",Whitefield
2605,Chinese Street,"Kundalhalli, Marathahalli, Bangalore",Yes,No,3.1,61,Marathahalli,Delivery,Chinese,550.0,Delivery,Brookefield
2606,Chinita Real Mexican Food,"218, Near BDA Complex, Double Road, Indiranagar, Bangalore",No,No,4.4,2658,Indiranagar,Casual Dining,Mexican,1200.0,Dine-out,Indiranagar
2607,Chinita Real Mexican Food,"25, 1st Floor, 5th Cross, Koramangala 5th Block, Bangalore",No,No,4.5,740,Koramangala 5th Block,Casual Dining,Mexican,1200.0,Dine-out,BTM
2608,Chinmayee's,"42/ 4C, Ananda Reddy Layout Phase 2, Electronic City, Bangalore",No,No,3.1,83,Electronic City,Casual Dining,"North Indian, Chinese",700.0,"Delivery, Dine-out",Electronic City
2609,Chinnu's Mane Biryani,"5th cross, Lakshmanna Layout, Banaswadi, Bangalore",Yes,No,3.5,11,Banaswadi,Quick Bites,Biryani,300.0,"Delivery, Dine-out",Kalyan Nagar
2610,Chintu Chit Chat Centre,"285/2, 100 Feet Ring Road, Banaswadi, Bangalore",No,No,3.6,16,Banaswadi,Quick Bites,Street Food,100.0,Dine-out,Kalyan Nagar
2611,Chintu Chit Chat Centre,"444, 2nd Main, Kasturi Nagar, Banaswadi, Bangalore",No,No,3.5,22,Banaswadi,Quick Bites,Street Food,100.0,Delivery,Kammanahalli
2612,Chirayu Biryani House,"Paradise Homes, 2, 6th Main Road, Doddanekkundi, Whitefield, Bangalore",No,No,,0,Whitefield,Delivery,Biryani,300.0,Delivery,Brookefield
2613,Chit Chat Cafe,"12 near KDC Dentel care Building, N.R . Layout, murgesgpslya, Bangalore",No,No,,0,Old Airport Road,"Beverage Shop, Quick Bites",Fast Food,150.0,Dine-out,Indiranagar
